OriginClass,TargetClass,Dependency
org.objectweb.asm.SymbolTable,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable,org.objectweb.asm.Handle,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable,org.objectweb.asm.ConstantDynamic,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodTooLargeException,org.objectweb.asm.MethodTooLargeException,org.ow2.asm:asm:jar:7.1:compile
org.apache.xbean.recipe.AsmParameterNameLoader,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleWriter,org.objectweb.asm.ModuleWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleWriter,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleWriter,org.objectweb.asm.ModuleVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleWriter,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleWriter,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultFieldVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultFieldVisitor,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultFieldVisitor,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.ClassVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.MethodWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.ConstantDynamic,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Context,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.ModuleVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.Handle,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassReader,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.ResultCollector,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.signature.SignatureReader,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultClassVisitor,org.objectweb.asm.ClassVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.signature.SignatureReader,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultMethodVisitor,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultSignatureVisitor,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultSignatureVisitor,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.signature.SignatureReader,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.signature.SignatureReader,org.objectweb.asm.signature.SignatureReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Handler,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Handler,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Handler,org.objectweb.asm.Handler,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultAnnotationVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultAnnotationVisitor,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DefaultAnnotationVisitor,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.apache.xbean.recipe.AsmParameterNameLoader$AllParameterNamesDiscoveringVisitor,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
org.apache.xbean.recipe.AsmParameterNameLoader$AllParameterNamesDiscoveringVisitor,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.TypePath,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.TypePath,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.TypeReference,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.TypeReference,org.objectweb.asm.TypeReference,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ModuleVisitor,org.objectweb.asm.ModuleVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DependencyClassFileVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DependencyClassFileVisitor,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DependencyClassFileVisitor,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DependencyClassFileVisitor,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
se.kth.depclean.core.analysis.asm.DependencyClassFileVisitor,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.FieldWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.AnnotationWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldWriter,org.objectweb.asm.Attribute$Set,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.signature.SignatureWriter,org.objectweb.asm.signature.SignatureWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.signature.SignatureWriter,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.TypeReference,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationWriter,org.objectweb.asm.AnnotationWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Edge,org.objectweb.asm.Edge,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Edge,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Context,org.objectweb.asm.Context,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Context,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Context,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Context,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Constants,org.objectweb.asm.Constants,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Constants,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
META-INF.versions.9.org.junit.platform.commons.util.ModuleUtils$ModuleReferenceScanner,module-info,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.CurrentFrame,org.objectweb.asm.CurrentFrame,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.CurrentFrame,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.CurrentFrame,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.CurrentFrame,org.objectweb.asm.Frame,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.CurrentFrame,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Edge,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.MethodTooLargeException,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Frame,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Attribute$Set,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.CurrentFrame,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Handler,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.Handle,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.AnnotationWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.MethodWriter,org.objectweb.asm.MethodWriter,org.ow2.asm:asm:jar:7.1:compile
org.apache.xbean.recipe.AsmParameterNameLoader$AllParameterNamesDiscoveringVisitor$1,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
META-INF.versions.9.module-info,module-info,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.AnnotationVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassTooLargeException,org.objectweb.asm.ClassTooLargeException,org.ow2.asm:asm:jar:7.1:compile
module-info,module-info,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ClassWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.FieldWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ModuleWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ClassVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.Attribute$Set,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ModuleVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.Handle,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.AnnotationWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.MethodWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassWriter,org.objectweb.asm.ClassTooLargeException,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable$Entry,org.objectweb.asm.SymbolTable$Entry,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable$Entry,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.SymbolTable$Entry,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.Opcodes,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.Symbol,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.Type,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.MethodWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Frame,org.objectweb.asm.Frame,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.signature.SignatureVisitor,org.objectweb.asm.signature.SignatureVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.ClassWriter,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.ByteVector,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.Label,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.SymbolTable,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.ClassReader,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute,org.objectweb.asm.Attribute$Set,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.MethodVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.ModuleVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.ClassVisitor,org.objectweb.asm.ClassVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldVisitor,org.objectweb.asm.AnnotationVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldVisitor,org.objectweb.asm.TypePath,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldVisitor,org.objectweb.asm.FieldVisitor,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.FieldVisitor,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute$Set,org.objectweb.asm.Attribute,org.ow2.asm:asm:jar:7.1:compile
org.objectweb.asm.Attribute$Set,org.objectweb.asm.Attribute$Set,org.ow2.asm:asm:jar:7.1:compile
org.apache.maven.profiles.activation.FileProfileActivator,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
se.kth.depclean.core.analysis.DefaultClassAnalyzer,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.internal.LifecycleModuleBuilder,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.internal.LifecycleModuleBuilder,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.artifact.factory.DefaultArtifactFactory,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.artifact.factory.DefaultArtifactFactory,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.plugin.prefix.internal.DefaultPluginPrefixResolver,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.plugin.prefix.internal.DefaultPluginPrefixResolver,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.DefaultLifecycleExecutor,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.DefaultLifecycleExecutor,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.PlexusXmlScanner,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.PlexusXmlScanner,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.PlexusXmlScanner,org.codehaus.plexus.component.annotations.Configuration,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.project.DefaultProjectRealmCache,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.ConfigurationImpl,org.codehaus.plexus.component.annotations.Configuration,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.ComponentDescriptorBeanModule,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.ComponentDescriptorBeanModule,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.PlexusAnnotatedBeanModule$PlexusAnnotatedBeanSource,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.internal.DefaultLifecycleExecutionPlanCalculator,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.ComponentDescriptorBeanModule$ComponentMetadata,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.eclipse.sisu.plexus.ComponentDescriptorBeanModule$ComponentMetadata,org.codehaus.plexus.component.annotations.Configuration,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.DefaultLifecycles,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.lifecycle.DefaultLifecycles,org.codehaus.plexus.component.annotations.Requirement,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
org.apache.maven.project.artifact.MavenMetadataSource,org.codehaus.plexus.component.annotations.Component,org.codehaus.plexus:plexus-component-annotations:jar:2.0.0:compile
